タイトル,プラットフォーム,配信開始日時,制作会社,URL
おでかけ子ザメ シーズン2,dアニメストア,2026-02-25 00:00,ENGI,https://odekake-kozame.com/
おでかけ子ザメ シーズン2,ABEMA,2026-02-25 00:00,ENGI,https://odekake-kozame.com/
おでかけ子ザメ シーズン2,U-NEXT,2026-02-25 00:00,ENGI,https://odekake-kozame.com/
大きい女の子は好きですか？,AnimeFesta,2026-04-05 01:05,studio HōKIBOSHI,https://ookii-onnanoko.af-original.com/
ガンバレ！中村くん！！,Hulu,2026-04-01 00:30,ドライブ,https://nakamura-kun.love/
ガンバレ！中村くん！！,dアニメストア,2026-04-01 00:30,ドライブ,https://nakamura-kun.love/
ガンバレ！中村くん！！,Prime Video,2026-04-01 00:30,ドライブ,https://nakamura-kun.love/
ガンバレ！中村くん！！,DMM TV,2026-04-01 00:30,ドライブ,https://nakamura-kun.love/
ガンバレ！中村くん！！,AnimeFesta,2026-04-01 00:30,ドライブ,https://nakamura-kun.love/
ガンバレ！中村くん！！,バンダイチャンネル,2026-04-01 00:30,ドライブ,https://nakamura-kun.love/
日本三國,Prime Video,2026-04-05 21:00,スタジオカフカ,https://www.nipponsangoku.com/
日本三國,U-NEXT,2026-04-05 21:00,スタジオカフカ,https://www.nipponsangoku.com/
リィンカーネーションの花弁,dアニメストア,2026-04-02 01:30,BENTEN Film,https://petals-of-reincarnation-anime.com/
リィンカーネーションの花弁,Prime Video,2026-04-02 01:30,BENTEN Film,https://petals-of-reincarnation-anime.com/
リィンカーネーションの花弁,ABEMA,2026-04-07 01:30,BENTEN Film,https://petals-of-reincarnation-anime.com/
リィンカーネーションの花弁,AnimeFesta,2026-04-07 01:30,BENTEN Film,https://petals-of-reincarnation-anime.com/
リィンカーネーションの花弁,バンダイチャンネル,2026-04-07 01:30,BENTEN Film,https://petals-of-reincarnation-anime.com/
リィンカーネーションの花弁,DMM TV,2026-04-07 01:30,BENTEN Film,https://petals-of-reincarnation-anime.com/
リィンカーネーションの花弁,FOD,2026-04-07 01:30,BENTEN Film,https://petals-of-reincarnation-anime.com/
リィンカーネーションの花弁,U-NEXT,2026-04-07 01:30,BENTEN Film,https://petals-of-reincarnation-anime.com/
メイドさんは食べるだけ,dアニメストア,2026-04-01 22:00,EMTスクエアード,https://meitabe-anime.com/
メイドさんは食べるだけ,ABEMA,2026-04-01 22:00,EMTスクエアード,https://meitabe-anime.com/
メイドさんは食べるだけ,U-NEXT,2026-04-01 22:00,EMTスクエアード,https://meitabe-anime.com/
メイドさんは食べるだけ,アニメ放題,2026-04-01 22:00,EMTスクエアード,https://meitabe-anime.com/
メイドさんは食べるだけ,DMM TV,2026-04-05 22:00,EMTスクエアード,https://meitabe-anime.com/
メイドさんは食べるだけ,Hulu,2026-04-05 22:00,EMTスクエアード,https://meitabe-anime.com/
北斗の拳 -FIST OF THE NORTH STAR-,Prime Video,2026-04-10 01:00,トムス・エンタテインメント,https://hokuto-anime.com/
氷の城壁,U-NEXT,2026-04-03 00:00,スタジオKAI,https://korinojoheki-pr.com/
氷の城壁,Netflix,2026-04-03 06:00,スタジオKAI,https://korinojoheki-pr.com/
氷の城壁,バンダイチャンネル,2026-04-10 00:00,スタジオKAI,https://korinojoheki-pr.com/
氷の城壁,ABEMA,2026-04-10 00:30,スタジオKAI,https://korinojoheki-pr.com/
氷の城壁,Prime Video,2026-04-10 00:30,スタジオKAI,https://korinojoheki-pr.com/
氷の城壁,Disney+（ディズニープラス）,2026-04-10 00:30,スタジオKAI,https://korinojoheki-pr.com/
氷の城壁,DMM TV,2026-04-10 00:30,スタジオKAI,https://korinojoheki-pr.com/
氷の城壁,dアニメストア,2026-04-10 00:30,スタジオKAI,https://korinojoheki-pr.com/
氷の城壁,dアニメストア for Prime Video,2026-04-10 00:30,スタジオKAI,https://korinojoheki-pr.com/
氷の城壁,FOD,2026-04-10 00:30,スタジオKAI,https://korinojoheki-pr.com/
氷の城壁,Hulu,2026-04-10 00:30,スタジオKAI,https://korinojoheki-pr.com/
氷の城壁,Lemino,2026-04-10 00:30,スタジオKAI,https://korinojoheki-pr.com/
氷の城壁,アニメタイムズ,2026-04-10 00:30,スタジオKAI,https://korinojoheki-pr.com/
氷の城壁,アニメ放題,2026-04-10 00:30,スタジオKAI,https://korinojoheki-pr.com/
あかね噺,ABEMA,2026-04-05 00:00,ZEXCS,https://akane-banashi.com/
あかね噺,Netflix,2026-04-05 00:00,ZEXCS,https://akane-banashi.com/
あかね噺,Prime Video,2026-04-06 00:00,ZEXCS,https://akane-banashi.com/
あかね噺,U-NEXT,2026-04-06 00:00,ZEXCS,https://akane-banashi.com/
あかね噺,DMM TV,2026-04-06 00:00,ZEXCS,https://akane-banashi.com/
スノウボールアース,バンダイチャンネル,2026-04-03 23:30,スタジオKAI,https://snowballearth.net/
スノウボールアース,ABEMA,2026-04-04 00:00,スタジオKAI,https://snowballearth.net/
スノウボールアース,Prime Video,2026-04-04 00:00,スタジオKAI,https://snowballearth.net/
スノウボールアース,DMM TV,2026-04-04 00:00,スタジオKAI,https://snowballearth.net/
スノウボールアース,dアニメストア,2026-04-04 00:00,スタジオKAI,https://snowballearth.net/
スノウボールアース,U-NEXT,2026-04-04 00:00,スタジオKAI,https://snowballearth.net/
スノウボールアース,アニメタイムズ,2026-04-04 00:00,スタジオKAI,https://snowballearth.net/
スノウボールアース,アニメ放題,2026-04-04 00:00,スタジオKAI,https://snowballearth.net/
春夏秋冬代行者 春の舞,ABEMA,2026-03-28 00:00,WIT STUDIO,https://4seasons-anime.com/
春夏秋冬代行者 春の舞,dアニメストア,2026-03-28 00:00,WIT STUDIO,https://4seasons-anime.com/
春夏秋冬代行者 春の舞,Prime Video,2026-03-28 00:00,WIT STUDIO,https://4seasons-anime.com/
春夏秋冬代行者 春の舞,dアニメストア for Prime Video,2026-03-28 00:00,WIT STUDIO,https://4seasons-anime.com/
