タイトル,プラットフォーム,配信開始日時,制作会社,URL
カードファイト!! ヴァンガード Divinez 幻真星戦編,ABEMA,2025-01-10 23:30,キネマシトラス,https://anime.cf-vanguard.com/vgd/
カードファイト!! ヴァンガード Divinez 幻真星戦編,Prime Video,2025-01-10 23:30,キネマシトラス,https://anime.cf-vanguard.com/vgd/
カードファイト!! ヴァンガード Divinez 幻真星戦編,DMM TV,2025-01-10 23:30,キネマシトラス,https://anime.cf-vanguard.com/vgd/
MFゴースト 3rd Season,Prime Video,2025-01-01 23:30,Felix Film,https://mfg-anime.com/
MFゴースト 3rd Season,dアニメストア,2025-01-01 23:30,Felix Film,https://mfg-anime.com/
MFゴースト 3rd Season,Lemino,2025-01-06 00:00,Felix Film,https://mfg-anime.com/
MFゴースト 3rd Season,アニメタイムズ,2025-01-06 00:00,Felix Film,https://mfg-anime.com/
MFゴースト 3rd Season,バンダイチャンネル,2025-01-06 00:00,Felix Film,https://mfg-anime.com/
MFゴースト 3rd Season,AnimeFesta,2025-01-06 00:00,Felix Film,https://mfg-anime.com/
MFゴースト 3rd Season,Hulu,2025-01-07 00:00,Felix Film,https://mfg-anime.com/
MFゴースト 3rd Season,U-NEXT,2025-01-07 00:00,Felix Film,https://mfg-anime.com/
MFゴースト 3rd Season,アニメ放題,2025-01-07 00:00,Felix Film,https://mfg-anime.com/
ヘルモード ～やり込み好きのゲーマーは廃設定の異世界で無双する～,ABEMA,2025-01-09 00:00,横浜アニメーションラボ,https://hellmode-anime.com/
ヘルモード ～やり込み好きのゲーマーは廃設定の異世界で無双する～,dアニメストア,2025-01-09 00:00,横浜アニメーションラボ,https://hellmode-anime.com/
ヘルモード ～やり込み好きのゲーマーは廃設定の異世界で無双する～,U-NEXT,2025-01-09 01:35,横浜アニメーションラボ,https://hellmode-anime.com/
ヘルモード ～やり込み好きのゲーマーは廃設定の異世界で無双する～,アニメ放題,2025-01-09 01:35,横浜アニメーションラボ,https://hellmode-anime.com/
違国日記,Prime Video,2025-01-05 22:30,朱夏,https://ikoku-anime.com/
違国日記,ABEMA,2025-01-10 12:00,朱夏,https://ikoku-anime.com/
違国日記,U-NEXT,2025-01-10 12:00,朱夏,https://ikoku-anime.com/
超かぐや姫！,Netflix,2025-01-22 00:00,スタジオコロリド,https://www.cho-kaguyahime.com/
姫様“拷問”の時間です 第2期,ABEMA,2025-01-12 00:00,PINE JAM,https://himesama-goumon.com/
姫様“拷問”の時間です 第2期,バンダイチャンネル,2025-01-12 23:30,PINE JAM,https://himesama-goumon.com/
姫様“拷問”の時間です 第2期,dアニメストア,2025-01-12 23:30,PINE JAM,https://himesama-goumon.com/
姫様“拷問”の時間です 第2期,DMM TV,2025-01-12 23:30,PINE JAM,https://himesama-goumon.com/
姫様“拷問”の時間です 第2期,Hulu,2025-01-16 00:00,PINE JAM,https://himesama-goumon.com/
姫様“拷問”の時間です 第2期,U-NEXT,2025-01-16 12:00,PINE JAM,https://himesama-goumon.com/
姫様“拷問”の時間です 第2期,アニメ放題,2025-01-16 12:00,PINE JAM,https://himesama-goumon.com/
地獄先生ぬ〜べ〜 第2クール,ABEMA,2025-01-07 11:45,スタジオKAI,https://nube-anime.com/
地獄先生ぬ〜べ〜 第2クール,U-NEXT,2025-01-07 11:45,スタジオKAI,https://nube-anime.com/
地獄先生ぬ〜べ〜 第2クール,アニメ放題,2025-01-07 11:45,スタジオKAI,https://nube-anime.com/
魔都精兵のスレイブ2,ABEMA,2025-01-08 00:30,パッショーネ,https://mabotai.jp/
魔都精兵のスレイブ2,dアニメストア,2025-01-08 00:30,パッショーネ,https://mabotai.jp/
魔都精兵のスレイブ2,AnimeFesta,2025-01-08 00:30,パッショーネ,https://mabotai.jp/
魔都精兵のスレイブ2,DMM TV,2025-01-08 00:30,パッショーネ,https://mabotai.jp/
魔都精兵のスレイブ2,アニメタイムズ,2025-01-11 00:30,パッショーネ,https://mabotai.jp/
魔都精兵のスレイブ2,バンダイチャンネル,2025-01-11 00:30,パッショーネ,https://mabotai.jp/
魔都精兵のスレイブ2,Prime Video,2025-01-11 00:30,パッショーネ,https://mabotai.jp/
魔都精兵のスレイブ2,U-NEXT,2025-01-11 00:30,パッショーネ,https://mabotai.jp/
死亡遊戯で飯を食う。,Netflix,2025-01-07 01:00,スタジオディーン,https://shiboyugi-anime.com/
死亡遊戯で飯を食う。,ABEMA,2025-01-07 23:30,スタジオディーン,https://shiboyugi-anime.com/
死亡遊戯で飯を食う。,dアニメストア,2025-01-07 23:30,スタジオディーン,https://shiboyugi-anime.com/
花ざかりの君たちへ,Prime Video,2025-01-04 22:00,SIGNAL.MD,https://hanakimi-anime.com/
花ざかりの君たちへ,U-NEXT,2025-01-04 22:00,SIGNAL.MD,https://hanakimi-anime.com/
花ざかりの君たちへ,アニメ放題,2025-01-04 22:00,SIGNAL.MD,https://hanakimi-anime.com/
花ざかりの君たちへ,dアニメストア,2025-01-04 22:00,SIGNAL.MD,https://hanakimi-anime.com/
鎧真伝サムライトルーパー,U-NEXT,2025-01-10 00:00,サンライズ,https://www.samurai-trooper.net/
鎧真伝サムライトルーパー,アニメ放題,2025-01-10 00:00,サンライズ,https://www.samurai-trooper.net/
鎧真伝サムライトルーパー,dアニメストア,2025-01-10 00:00,サンライズ,https://www.samurai-trooper.net/
鎧真伝サムライトルーパー,ABEMA,2025-01-10 00:00,サンライズ,https://www.samurai-trooper.net/
鎧真伝サムライトルーパー,FOD,2025-01-10 00:00,サンライズ,https://www.samurai-trooper.net/
鎧真伝サムライトルーパー,DMM TV,2025-01-10 00:00,サンライズ,https://www.samurai-trooper.net/
鎧真伝サムライトルーパー,Prime Video,2025-01-10 00:00,サンライズ,https://www.samurai-trooper.net/
鎧真伝サムライトルーパー,Lemino,2025-01-10 00:00,サンライズ,https://www.samurai-trooper.net/
鎧真伝サムライトルーパー,バンダイチャンネル,2025-01-10 12:00,サンライズ,https://www.samurai-trooper.net/
ヴィジランテ -僕のヒーローアカデミア ILLEGALS- 第2期,ABEMA,2025-01-05 22:30,ボンズフィルム,https://vigilante-anime.com/
ヴィジランテ -僕のヒーローアカデミア ILLEGALS- 第2期,Prime Video,2025-01-05 22:30,ボンズフィルム,https://vigilante-anime.com/
ヴィジランテ -僕のヒーローアカデミア ILLEGALS- 第2期,DMM TV,2025-01-05 22:30,ボンズフィルム,https://vigilante-anime.com/
綺麗にしてもらえますか。,dアニメストア,2025-01-05 22:30,オクルトノボル,https://kinishite.com/
綺麗にしてもらえますか。,ABEMA,2025-01-05 22:30,オクルトノボル,https://kinishite.com/
綺麗にしてもらえますか。,アニメ放題,2025-01-08 00:00,オクルトノボル,https://kinishite.com/
綺麗にしてもらえますか。,DMM TV,2025-01-08 00:00,オクルトノボル,https://kinishite.com/
綺麗にしてもらえますか。,FOD,2025-01-08 00:00,オクルトノボル,https://kinishite.com/
綺麗にしてもらえますか。,バンダイチャンネル,2025-01-08 00:00,オクルトノボル,https://kinishite.com/
綺麗にしてもらえますか。,Prime Video,2025-01-08 20:30,オクルトノボル,https://kinishite.com/
綺麗にしてもらえますか。,U-NEXT,2025-01-08 22:30,オクルトノボル,https://kinishite.com/
