番号,タイトル,URL,ステータスコード
1,3年Z組銀八先生,https://www.anime-gintama.com/ginpachi/onair.html,404
2,シルバニアファミリー フレアのワンダーデイズ,https://www.sylvanianfamilies.com/ja-jp/special/tv/,403
3,魔法少女まどか☆マギカ 始まりの物語／永遠の物語 TV Edition,https://www.madoka-magica.com/tv/index.htmlonair.html,404
4,SANDA,https://sanda.red/onair.html,404
5,破産富豪 The Richest Man in GAME,https://www.fujitv.co.jp/hasanfugou/onair.html,404
6,終末のワルキューレⅢ,https://ragnarok-official.com/onair.html,404
7,アンデッドアンラック Winter編,https://undead-unluck.net/onair.html,404
8,SPY×FAMILY Season 3,https://spy-family.net/tvseries/,403
9,無職の英雄 ～別にスキルなんか要らなかったんだが～,https://mushoku-eiyu-anime.com/onair.html,404
10,ポーション、わが身を助ける,https://animationid.com/potion/onair.html,404
11,青のオーケストラ Season 2,https://aooke-anime.com/onair.html,404
12,僕のヒーローアカデミア FINAL SEASON,https://heroaca.com/,403
13,#神奈川に住んでるエルフ,https://animationid.com/kanael/onair.html,404
14,陛下わたしを忘れてください,https://honto.jp/anime/heika.htmlonair.html,404
15,野原ひろし 昼メシの流儀,https://www.shinchan-app.jp/hiroshi-hirumeshi-anime/onair.html,404
